,x_co2,S,T
0,1e-06,0.1,177.376
1,1e-06,0.15833333333333333,194.842
2,1e-06,0.21666666666666667,207.878
3,1e-06,0.275,218.92
4,1e-06,0.3333333333333333,228.201
5,1e-06,0.3916666666666666,236.285
6,1e-06,0.44999999999999996,243.517
7,1e-06,0.5083333333333333,249.904
8,1e-06,0.5666666666666667,255.505
9,1e-06,0.6249999999999999,260.4
10,1e-06,0.6833333333333332,264.688
11,1e-06,0.7416666666666666,268.617
12,1e-06,0.7999999999999999,272.277
13,1e-06,0.8583333333333333,275.667
14,1e-06,0.9166666666666665,278.854
15,1e-06,0.9749999999999999,281.898
16,1e-06,1.0333333333333332,284.878
17,1e-06,1.0916666666666666,287.792
18,1e-06,1.15,290.657
19,1e-06,1.2083333333333333,293.572
20,1e-06,1.2666666666666666,296.157
21,1e-06,1.325,339.777
22,1e-06,1.3833333333333333,345.676
23,1e-06,1.4416666666666667,351.686
24,1e-06,1.5,357.693
25,1.778279410038923e-06,0.1,177.731
26,1.778279410038923e-06,0.15833333333333333,195.263
27,1.778279410038923e-06,0.21666666666666667,208.322
28,1.778279410038923e-06,0.275,219.397
29,1.778279410038923e-06,0.3333333333333333,228.693
30,1.778279410038923e-06,0.3916666666666666,236.78
31,1.778279410038923e-06,0.44999999999999996,244.015
32,1.778279410038923e-06,0.5083333333333333,250.38
33,1.778279410038923e-06,0.5666666666666667,255.958
34,1.778279410038923e-06,0.6249999999999999,260.827
35,1.778279410038923e-06,0.6833333333333332,265.095
36,1.778279410038923e-06,0.7416666666666666,269.026
37,1.778279410038923e-06,0.7999999999999999,272.672
38,1.778279410038923e-06,0.8583333333333333,276.056
39,1.778279410038923e-06,0.9166666666666665,279.237
40,1.778279410038923e-06,0.9749999999999999,282.285
41,1.778279410038923e-06,1.0333333333333332,285.263
42,1.778279410038923e-06,1.0916666666666666,288.178
43,1.778279410038923e-06,1.15,291.054
44,1.778279410038923e-06,1.2083333333333333,293.908
45,1.778279410038923e-06,1.2666666666666666,296.481
46,1.778279410038923e-06,1.325,339.885
47,1.778279410038923e-06,1.3833333333333333,345.778
48,1.778279410038923e-06,1.4416666666666667,351.779
49,1.778279410038923e-06,1.5,357.782
50,3.162277660168379e-06,0.1,178.115
51,3.162277660168379e-06,0.15833333333333333,195.726
52,3.162277660168379e-06,0.21666666666666667,208.827
53,3.162277660168379e-06,0.275,219.939
54,3.162277660168379e-06,0.3333333333333333,229.257
55,3.162277660168379e-06,0.3916666666666666,237.351
56,3.162277660168379e-06,0.44999999999999996,244.601
57,3.162277660168379e-06,0.5083333333333333,250.944
58,3.162277660168379e-06,0.5666666666666667,256.495
59,3.162277660168379e-06,0.6249999999999999,261.333
60,3.162277660168379e-06,0.6833333333333332,265.577
61,3.162277660168379e-06,0.7416666666666666,269.51
62,3.162277660168379e-06,0.7999999999999999,273.151
63,3.162277660168379e-06,0.8583333333333333,276.532
64,3.162277660168379e-06,0.9166666666666665,279.71
65,3.162277660168379e-06,0.9749999999999999,282.772
66,3.162277660168379e-06,1.0333333333333332,285.749
67,3.162277660168379e-06,1.0916666666666666,288.67
68,3.162277660168379e-06,1.15,291.566
69,3.162277660168379e-06,1.2083333333333333,294.329
70,3.162277660168379e-06,1.2666666666666666,296.898
71,3.162277660168379e-06,1.325,340.034
72,3.162277660168379e-06,1.3833333333333333,345.907
73,3.162277660168379e-06,1.4416666666666667,351.897
74,3.162277660168379e-06,1.5,357.892
75,5.623413251903491e-06,0.1,178.513
76,5.623413251903491e-06,0.15833333333333333,196.212
77,5.623413251903491e-06,0.21666666666666667,209.367
78,5.623413251903491e-06,0.275,220.527
79,5.623413251903491e-06,0.3333333333333333,229.865
80,5.623413251903491e-06,0.3916666666666666,237.981
81,5.623413251903491e-06,0.44999999999999996,245.25
82,5.623413251903491e-06,0.5083333333333333,251.572
83,5.623413251903491e-06,0.5666666666666667,257.095
84,5.623413251903491e-06,0.6249999999999999,261.905
85,5.623413251903491e-06,0.6833333333333332,266.129
86,5.623413251903491e-06,0.7416666666666666,270.062
87,5.623413251903491e-06,0.7999999999999999,273.701
88,5.623413251903491e-06,0.8583333333333333,277.083
89,5.623413251903491e-06,0.9166666666666665,280.269
90,5.623413251903491e-06,0.9749999999999999,283.346
91,5.623413251903491e-06,1.0333333333333332,286.328
92,5.623413251903491e-06,1.0916666666666666,289.269
93,5.623413251903491e-06,1.15,292.204
94,5.623413251903491e-06,1.2083333333333333,294.841
95,5.623413251903491e-06,1.2666666666666666,297.41
96,5.623413251903491e-06,1.325,340.234
97,5.623413251903491e-06,1.3833333333333333,346.081
98,5.623413251903491e-06,1.4416666666666667,352.056
99,5.623413251903491e-06,1.5,358.034
100,1e-05,0.1,178.921
101,1e-05,0.15833333333333333,196.713
102,1e-05,0.21666666666666667,209.933
103,1e-05,0.275,221.153
104,1e-05,0.3333333333333333,230.521
105,1e-05,0.3916666666666666,238.66
106,1e-05,0.44999999999999996,245.95
107,1e-05,0.5083333333333333,252.263
108,1e-05,0.5666666666666667,257.753
109,1e-05,0.6249999999999999,262.531
110,1e-05,0.6833333333333332,266.735
111,1e-05,0.7416666666666666,270.679
112,1e-05,0.7999999999999999,274.313
113,1e-05,0.8583333333333333,277.701
114,1e-05,0.9166666666666665,280.893
115,1e-05,0.9749999999999999,283.994
116,1e-05,1.0333333333333332,286.994
117,1e-05,1.0916666666666666,289.96
118,1e-05,1.15,292.809
119,1e-05,1.2083333333333333,295.426
120,1e-05,1.2666666666666666,334.984
121,1e-05,1.325,340.498
122,1e-05,1.3833333333333333,346.311
123,1e-05,1.4416666666666667,352.265
124,1e-05,1.5,358.22
125,1.778279410038923e-05,0.1,179.333
126,1.778279410038923e-05,0.15833333333333333,197.235
127,1.778279410038923e-05,0.21666666666666667,210.531
128,1.778279410038923e-05,0.275,221.81
129,1.778279410038923e-05,0.3333333333333333,231.221
130,1.778279410038923e-05,0.3916666666666666,239.377
131,1.778279410038923e-05,0.44999999999999996,246.703
132,1.778279410038923e-05,0.5083333333333333,253.009
133,1.778279410038923e-05,0.5666666666666667,258.466
134,1.778279410038923e-05,0.6249999999999999,263.214
135,1.778279410038923e-05,0.6833333333333332,267.39
136,1.778279410038923e-05,0.7416666666666666,271.344
137,1.778279410038923e-05,0.7999999999999999,274.984
138,1.778279410038923e-05,0.8583333333333333,278.373
139,1.778279410038923e-05,0.9166666666666665,281.592
140,1.778279410038923e-05,0.9749999999999999,284.707
141,1.778279410038923e-05,1.0333333333333332,287.72
142,1.778279410038923e-05,1.0916666666666666,290.73
143,1.778279410038923e-05,1.15,293.45
144,1.778279410038923e-05,1.2083333333333333,296.079
145,1.778279410038923e-05,1.2666666666666666,335.331
146,1.778279410038923e-05,1.325,340.838
147,1.778279410038923e-05,1.3833333333333333,346.613
148,1.778279410038923e-05,1.4416666666666667,352.542
149,1.778279410038923e-05,1.5,358.453
150,3.1622776601683795e-05,0.1,179.784
151,3.1622776601683795e-05,0.15833333333333333,197.797
152,3.1622776601683795e-05,0.21666666666666667,211.187
153,3.1622776601683795e-05,0.275,222.517
154,3.1622776601683795e-05,0.3333333333333333,231.962
155,3.1622776601683795e-05,0.3916666666666666,240.17
156,3.1622776601683795e-05,0.44999999999999996,247.497
157,3.1622776601683795e-05,0.5083333333333333,253.789
158,3.1622776601683795e-05,0.5666666666666667,259.216
159,3.1622776601683795e-05,0.6249999999999999,263.932
160,3.1622776601683795e-05,0.6833333333333332,268.092
161,3.1622776601683795e-05,0.7416666666666666,272.062
162,3.1622776601683795e-05,0.7999999999999999,275.7
163,3.1622776601683795e-05,0.8583333333333333,279.103
164,3.1622776601683795e-05,0.9166666666666665,282.344
165,3.1622776601683795e-05,0.9749999999999999,285.475
166,3.1622776601683795e-05,1.0333333333333332,288.51
167,3.1622776601683795e-05,1.0916666666666666,291.431
168,3.1622776601683795e-05,1.15,294.144
169,3.1622776601683795e-05,1.2083333333333333,296.792
170,3.1622776601683795e-05,1.2666666666666666,335.775
171,3.1622776601683795e-05,1.325,341.271
172,3.1622776601683795e-05,1.3833333333333333,347.011
173,3.1622776601683795e-05,1.4416666666666667,352.904
174,3.1622776601683795e-05,1.5,358.779
175,5.623413251903491e-05,0.1,180.313
176,5.623413251903491e-05,0.15833333333333333,198.432
177,5.623413251903491e-05,0.21666666666666667,211.919
178,5.623413251903491e-05,0.275,223.297
179,5.623413251903491e-05,0.3333333333333333,232.773
180,5.623413251903491e-05,0.3916666666666666,241.033
181,5.623413251903491e-05,0.44999999999999996,248.349
182,5.623413251903491e-05,0.5083333333333333,254.626
183,5.623413251903491e-05,0.5666666666666667,260.017
184,5.623413251903491e-05,0.6249999999999999,264.701
185,5.623413251903491e-05,0.6833333333333332,268.867
186,5.623413251903491e-05,0.7416666666666666,272.824
187,5.623413251903491e-05,0.7999999999999999,276.466
188,5.623413251903491e-05,0.8583333333333333,279.874
189,5.623413251903491e-05,0.9166666666666665,283.149
190,5.623413251903491e-05,0.9749999999999999,286.293
191,5.623413251903491e-05,1.0333333333333332,289.358
192,5.623413251903491e-05,1.0916666666666666,292.17
193,5.623413251903491e-05,1.15,294.898
194,5.623413251903491e-05,1.2083333333333333,297.571
195,5.623413251903491e-05,1.2666666666666666,336.3
196,5.623413251903491e-05,1.325,341.791
197,5.623413251903491e-05,1.3833333333333333,347.49
198,5.623413251903491e-05,1.4416666666666667,353.353
199,5.623413251903491e-05,1.5,359.188
200,0.0001,0.1,180.973
201,0.0001,0.15833333333333333,199.158
202,0.0001,0.21666666666666667,212.756
203,0.0001,0.275,224.167
204,0.0001,0.3333333333333333,233.672
205,0.0001,0.3916666666666666,241.967
206,0.0001,0.44999999999999996,249.267
207,0.0001,0.5083333333333333,255.51
208,0.0001,0.5666666666666667,260.86
209,0.0001,0.6249999999999999,265.507
210,0.0001,0.6833333333333332,269.688
211,0.0001,0.7416666666666666,273.634
212,0.0001,0.7999999999999999,277.274
213,0.0001,0.8583333333333333,280.691
214,0.0001,0.9166666666666665,283.995
215,0.0001,0.9749999999999999,287.165
216,0.0001,1.0333333333333332,290.136
217,0.0001,1.0916666666666666,292.957
218,0.0001,1.15,295.702
219,0.0001,1.2083333333333333,331.987
220,0.0001,1.2666666666666666,336.922
221,0.0001,1.325,342.397
222,0.0001,1.3833333333333333,348.067
223,0.0001,1.4416666666666667,353.905
224,0.0001,1.5,359.697
225,0.00017782794100389227,0.1,181.731
226,0.00017782794100389227,0.15833333333333333,199.983
227,0.00017782794100389227,0.21666666666666667,213.679
228,0.00017782794100389227,0.275,225.13
229,0.00017782794100389227,0.3333333333333333,234.648
230,0.00017782794100389227,0.3916666666666666,242.986
231,0.00017782794100389227,0.44999999999999996,250.243
232,0.00017782794100389227,0.5083333333333333,256.448
233,0.00017782794100389227,0.5666666666666667,261.75
234,0.00017782794100389227,0.6249999999999999,266.359
235,0.00017782794100389227,0.6833333333333332,270.553
236,0.00017782794100389227,0.7416666666666666,274.483
237,0.00017782794100389227,0.7999999999999999,278.119
238,0.00017782794100389227,0.8583333333333333,281.557
239,0.00017782794100389227,0.9166666666666665,284.878
240,0.00017782794100389227,0.9749999999999999,288.073
241,0.00017782794100389227,1.0333333333333332,290.948
242,0.00017782794100389227,1.0916666666666666,293.778
243,0.00017782794100389227,1.15,296.544
244,0.00017782794100389227,1.2083333333333333,332.65
245,0.00017782794100389227,1.2666666666666666,337.629
246,0.00017782794100389227,1.325,343.093
247,0.00017782794100389227,1.3833333333333333,348.744
248,0.00017782794100389227,1.4416666666666667,354.564
249,0.00017782794100389227,1.5,360.301
250,0.00031622776601683794,0.1,182.572
251,0.00031622776601683794,0.15833333333333333,200.892
252,0.00031622776601683794,0.21666666666666667,214.682
253,0.00031622776601683794,0.275,226.151
254,0.00031622776601683794,0.3333333333333333,235.684
255,0.00031622776601683794,0.3916666666666666,244.043
256,0.00031622776601683794,0.44999999999999996,251.265
257,0.00031622776601683794,0.5083333333333333,257.408
258,0.00031622776601683794,0.5666666666666667,262.658
259,0.00031622776601683794,0.6249999999999999,267.224
260,0.00031622776601683794,0.6833333333333332,271.436
261,0.00031622776601683794,0.7416666666666666,275.355
262,0.00031622776601683794,0.7999999999999999,278.989
263,0.00031622776601683794,0.8583333333333333,282.444
264,0.00031622776601683794,0.9166666666666665,285.779
265,0.00031622776601683794,0.9749999999999999,288.884
266,0.00031622776601683794,1.0333333333333332,291.762
267,0.00031622776601683794,1.0916666666666666,294.604
268,0.00031622776601683794,1.15,297.392
269,0.00031622776601683794,1.2083333333333333,333.384
270,0.00031622776601683794,1.2666666666666666,338.418
271,0.00031622776601683794,1.325,343.881
272,0.00031622776601683794,1.3833333333333333,349.52
273,0.00031622776601683794,1.4416666666666667,355.313
274,0.00031622776601683794,1.5,361.01
275,0.0005623413251903491,0.1,183.447
276,0.0005623413251903491,0.15833333333333333,201.811
277,0.0005623413251903491,0.21666666666666667,215.693
278,0.0005623413251903491,0.275,227.188
279,0.0005623413251903491,0.3333333333333333,236.722
280,0.0005623413251903491,0.3916666666666666,245.105
281,0.0005623413251903491,0.44999999999999996,252.274
282,0.0005623413251903491,0.5083333333333333,258.361
283,0.0005623413251903491,0.5666666666666667,263.556
284,0.0005623413251903491,0.6249999999999999,268.083
285,0.0005623413251903491,0.6833333333333332,272.308
286,0.0005623413251903491,0.7416666666666666,276.217
287,0.0005623413251903491,0.7999999999999999,279.842
288,0.0005623413251903491,0.8583333333333333,283.321
289,0.0005623413251903491,0.9166666666666665,286.667
290,0.0005623413251903491,0.9749999999999999,289.633
291,0.0005623413251903491,1.0333333333333332,292.546
292,0.0005623413251903491,1.0916666666666666,295.396
293,0.0005623413251903491,1.15,329.707
294,0.0005623413251903491,1.2083333333333333,334.193
295,0.0005623413251903491,1.2666666666666666,339.288
296,0.0005623413251903491,1.325,344.76
297,0.0005623413251903491,1.3833333333333333,350.406
298,0.0005623413251903491,1.4416666666666667,356.178
299,0.0005623413251903491,1.5,361.826
300,0.001,0.1,184.257
301,0.001,0.15833333333333333,202.693
302,0.001,0.21666666666666667,216.644
303,0.001,0.275,228.151
304,0.001,0.3333333333333333,237.695
